seogii@seogii-Samsung-DeskTop-System:~/source_git/CSAPI_SAMPLE/Tizen-CSharp-Samples/Mobile/Accounts$ ./check_style.sh SampleAccount
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:4: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:5: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:6: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:7: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:8: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:9: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:10: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:11: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:12: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:13: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:14: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:22: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:23: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:24: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:27: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:28: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:29: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:30: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:31: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:34: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:35: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:36: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:37: WARNING: [LNE_R_TWS]trailing whitespace
total: 0 errors, 26 warnings, 40 lines checked
total: 0 errors, 0 warnings, 21 lines checked
total: 0 errors, 0 warnings, 60 lines checked
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:1: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:2: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:3: WARNING: [LNE_R_TWS]trailing whitespace
